,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,Maxi Kleber,DAL,28,74,42,32,25.5,112.6,109.2,3.4,6.5,1.52,12.6,5.4,13.6,9.5,8.3,57.7,60.5,13.4,101.50,8.2
1,2,Delon Wright,DAL,28,73,42,31,21.5,111.2,109.5,1.7,21.5,3.34,31.6,4.0,12.4,8.2,9.4,51.9,55.4,14.0,101.55,10.6
2,2,Dillon Brooks,MEM,24,73,34,39,28.9,108.5,108.9,-0.3,10.4,1.21,10.6,3.0,7.6,5.4,8.7,47.6,51.0,24.7,103.55,6.2
3,2,Duncan Robinson,MIA,26,73,44,29,29.7,113.8,106.2,7.5,6.8,1.46,11.6,0.5,9.9,5.4,7.9,66.7,68.4,15.7,99.23,8.2
4,2,Justin Holiday,IND,31,73,45,28,25.0,107.7,106.4,1.3,6.8,2.11,14.3,1.7,10.4,6.2,6.7,56.6,58.5,13.0,102.37,7.6
5,2,Mikal Bridges,PHX,23,73,34,39,28.0,111.0,108.1,2.9,8.6,1.77,17.4,3.2,10.7,7.0,9.9,58.3,62.0,12.5,103.12,8.2
6,2,Monte Morris,DEN,25,73,46,27,22.4,110.2,109.3,0.8,21.9,4.81,28.1,1.4,6.7,4.0,5.8,51.7,54.5,16.8,100.03,9.9
7,2,Nikola Jokic,DEN,25,73,46,27,32.0,113.4,108.9,4.5,35.0,2.27,26.4,7.3,23.7,15.5,11.6,56.5,60.5,26.6,96.90,17.9
8,9,Bam Adebayo,MIA,22,72,44,28,33.6,112.6,107.7,5.0,23.8,1.80,24.0,7.7,22.4,15.3,13.3,55.8,59.8,21.2,98.36,14.7
9,9,Buddy Hield,SAC,27,72,31,41,30.8,108.9,111.9,-3.1,15.3,1.27,13.4,2.5,12.4,7.4,10.6,54.5,56.6,26.3,100.92,10.4
10,9,Cory Joseph,SAC,28,72,31,41,24.4,107.3,107.6,-0.3,19.9,3.14,32.5,2.4,8.2,5.3,10.3,48.3,51.7,12.7,99.76,7.0
11,9,Furkan Korkmaz,PHI,22,72,42,30,21.7,109.3,106.6,2.7,7.3,1.34,10.6,1.1,9.3,5.2,7.9,55.7,57.9,17.7,102.27,7.8
12,9,Harrison Barnes,SAC,28,72,31,41,34.5,108.9,111.4,-2.5,9.2,1.81,13.7,3.0,11.1,7.0,7.6,52.5,57.4,17.2,100.86,9.0
13,9,Ivica Zubac,LAC,23,72,49,23,18.4,113.0,104.1,8.9,9.1,1.34,13.6,14.0,24.0,19.1,10.1,61.3,65.1,16.3,101.14,14.3
14,9,Joe Ingles,UTA,32,72,44,28,29.7,110.8,105.6,5.1,24.4,2.63,33.6,1.3,11.2,6.4,12.8,57.2,59.5,14.8,100.34,9.6
15,9,Markelle Fultz,ORL,22,72,33,39,27.7,108.8,110.5,-1.7,27.3,2.51,27.2,2.0,10.0,5.8,10.8,48.8,51.7,21.0,100.44,9.5
16,9,Nemanja Bjelica,SAC,32,72,31,41,27.9,110.0,111.1,-1.0,14.1,2.05,20.5,5.4,17.7,11.5,10.0,58.3,60.2,16.7,99.44,10.3
17,9,P.J. Tucker,HOU,35,72,44,28,34.3,111.9,108.9,3.0,6.1,1.60,18.1,4.2,13.7,8.9,11.3,54.1,55.9,8.7,103.47,5.7
18,9,Terence Davis,TOR,23,72,53,19,16.8,111.8,103.9,7.9,14.0,1.51,17.7,3.9,13.7,9.0,11.7,56.4,58.8,18.1,102.12,10.1
19,9,Tobias Harris,PHI,27,72,43,29,34.3,110.3,107.2,3.1,14.5,2.18,14.3,2.7,17.2,9.9,6.5,52.7,55.6,23.6,99.23,12.6
20,21,Ben McLemore,HOU,27,71,44,27,22.8,114.2,109.2,5.0,5.0,1.16,8.5,1.2,7.9,4.5,7.3,61.0,62.2,15.7,105.17,6.6
