,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Aaron Gordon,ORL,24,3.1,4.6,66.0,0.4,1.0,36.7,0.5,1.6,32.7,0.2,1.1,19.7,0.4,1.4,29.9,0.8,2.5,32.5,,,
1,Aaron Holiday,IND,23,1.3,2.5,51.5,0.3,0.8,30.4,0.3,0.7,38.3,0.3,0.9,34.4,0.5,1.2,43.0,0.9,2.3,38.4,,,
2,Abdel Nader,OKC,26,1.1,1.7,63.7,0.2,0.4,39.1,0.1,0.2,40.0,0.1,0.2,40.0,0.4,0.9,40.8,0.5,1.5,35.0,,,
3,Adam Mokoka,CHI,21,0.5,1.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.7,37.5,0.3,0.7,42.9,,,
4,Admiral Schofield,WAS,23,0.3,0.7,50.0,0.1,0.1,50.0,0.1,0.2,60.0,0.0,0.1,50.0,0.4,1.1,37.9,0.3,1.0,25.8,,,
5,Al Horford,PHI,34,1.7,2.6,65.7,0.5,1.3,39.3,0.4,1.0,41.2,0.5,1.0,46.4,0.4,1.3,33.7,1.2,3.4,36.1,,,
6,Al-Farouq Aminu,ORL,29,0.7,1.9,34.3,0.1,0.5,22.2,0.0,0.0,0.0,0.1,0.2,66.7,0.3,1.1,26.3,0.2,1.1,20.0,,,
7,Alec Burks,PHI,28,1.6,3.2,50.0,0.3,1.0,35.4,0.5,1.3,39.1,0.4,1.0,40.0,0.7,1.8,41.9,1.2,3.2,37.9,,,
8,Alen Smailagic,GSW,19,1.0,1.2,82.4,0.1,0.4,33.3,0.0,0.2,0.0,0.1,0.1,50.0,0.1,0.5,14.3,0.1,0.4,33.3,,,
9,Alex Caruso,LAL,26,1.1,1.8,60.7,0.0,0.3,16.7,0.0,0.2,7.1,0.1,0.3,26.3,0.3,0.8,31.4,0.4,1.1,33.8,,,
10,Alex Len,SAC,27,2.4,3.6,66.3,0.4,0.8,54.5,0.1,0.3,40.0,0.0,0.1,20.0,0.2,0.6,34.4,0.1,0.5,19.2,,,
11,Alfonzo McKinnie,CLE,27,1.2,1.9,61.3,0.2,0.5,52.9,0.1,0.2,50.0,0.0,0.2,14.3,0.2,1.1,22.5,0.1,0.7,19.2,,,
12,Alize Johnson,IND,24,0.5,0.9,53.3,0.1,0.3,25.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.1,0.0,,,
13,Allen Crabbe,MIN,28,0.3,0.5,60.0,0.1,0.2,28.6,0.2,0.4,43.8,0.1,0.3,40.0,0.5,1.4,36.5,0.5,1.9,27.1,,,
14,Allonzo Trier,NYK,24,0.6,1.0,62.5,0.0,0.2,25.0,0.1,0.2,60.0,0.5,0.7,66.7,0.3,0.7,43.8,0.6,1.8,35.7,,,
15,Amile Jefferson,ORL,27,0.3,0.7,37.5,0.1,0.2,33.3,0.1,0.2,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
16,Amir Coffey,LAC,23,0.7,1.3,50.0,0.2,0.4,40.0,0.3,0.5,66.7,0.1,0.3,25.0,0.4,0.6,55.6,0.1,0.6,10.0,,,
17,Andre Drummond,CLE,26,6.2,10.2,61.0,0.9,2.5,37.9,0.1,0.3,17.6,0.0,0.1,16.7,0.1,0.2,25.0,0.0,0.4,9.1,,,
18,Andre Iguodala,MIA,36,0.9,1.2,73.1,0.0,0.1,0.0,0.0,0.3,16.7,0.1,0.2,75.0,0.5,1.6,32.4,0.2,0.7,28.6,,,
19,Andre Roberson,OKC,28,0.7,1.7,41.7,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.4,1.1,37.5,,,
20,Andrew Wiggins,GSW,25,3.9,6.0,64.6,1.0,2.4,41.5,0.5,1.6,30.7,0.4,1.2,34.8,0.9,2.5,35.8,1.4,4.3,32.8,,,
21,Anfernee Simons,POR,21,1.1,1.9,55.6,0.2,0.7,29.2,0.2,0.7,35.4,0.4,0.9,43.8,0.5,1.4,38.9,0.6,2.0,30.5,,,
22,Ante Zizic,CLE,23,1.4,2.3,60.8,0.2,0.6,33.3,0.3,0.3,83.3,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,,,
23,Anthony Davis,LAL,27,5.2,7.3,70.8,0.6,1.8,36.7,1.0,2.3,45.4,0.7,2.3,30.6,0.6,1.5,40.4,0.7,2.4,29.1,,,
24,Anthony Tolliver,MEM,35,0.2,0.5,40.0,0.0,0.1,33.3,0.0,0.0,50.0,0.0,0.0,50.0,0.5,1.1,42.1,0.5,1.6,31.0,,,
25,Antonius Cleveland,DAL,26,0.3,0.8,37.5,0.1,0.1,100,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,,,
26,Anzejs Pasecniks,WAS,24,1.9,2.7,71.0,0.3,1.0,33.3,0.1,0.4,22.2,0.0,0.3,12.5,0.0,0.0,0.0,0.0,0.1,0.0,,,
27,Aron Baynes,PHX,33,2.3,3.7,61.8,0.5,0.8,58.8,0.1,0.3,42.9,0.0,0.1,16.7,0.5,1.3,36.4,0.9,2.7,33.9,,,
28,Austin Rivers,HOU,27,1.4,2.5,55.4,0.3,0.7,36.7,0.0,0.2,18.2,0.0,0.0,50.0,0.5,1.2,42.2,0.9,2.8,33.2,,,
29,Avery Bradley,LAL,29,1.0,1.6,60.0,0.2,0.4,45.0,0.2,0.5,39.1,0.7,1.5,48.6,0.8,2.3,34.8,0.6,1.5,39.7,,,
30,BJ Johnson,ORL,24,0.4,1.2,36.4,0.0,0.0,0.0,0.1,0.4,25.0,0.1,0.6,16.7,0.3,1.1,25.0,0.1,0.3,33.3,,,
31,Bam Adebayo,MIA,22,4.5,6.7,67.9,0.8,1.9,40.1,0.6,1.4,44.6,0.2,0.7,20.8,0.0,0.2,15.4,0.0,0.1,25.0,,,
32,Ben McLemore,HOU,27,0.8,1.2,67.4,0.0,0.1,20.0,0.0,0.0,100,0.0,0.0,0.0,1.2,2.5,45.3,1.4,3.7,37.4,,,
