,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Aaron Gordon,ORL,62,30,32,32.5,14.4,53.0,29.4,2.5,2.88,1.91,0.272,1.8,3.2,4.3,0.391,0.551,0.981
1,Aaron Holiday,IND,66,42,24,24.5,9.5,41.4,18.0,3.0,4.35,4.17,0.230,0.1,0.0,0.3,1.000,0.000,0.591
2,Abdel Nader,OKC,55,37,18,15.8,6.3,15.6,11.1,0.5,2.05,1.41,0.402,0.2,0.0,0.4,0.769,0.000,0.900
3,Adam Mokoka,CHI,11,3,8,10.2,2.9,10.2,7.1,0.2,1.47,0.83,0.286,0.2,0.0,0.8,0.000,0.000,0.222
4,Admiral Schofield,WAS,33,9,24,11.2,3.0,15.7,8.3,0.4,1.40,0.51,0.191,0.2,0.2,0.6,0.800,1.333,0.632
5,Al Horford,PHI,67,39,28,30.2,11.9,55.1,35.9,1.7,1.81,0.63,0.216,5.2,4.3,3.7,0.167,0.563,0.715
6,Al-Farouq Aminu,ORL,18,7,11,21.1,4.3,36.3,16.3,1.2,1.91,0.88,0.119,0.7,1.0,1.9,0.833,0.111,0.559
7,Alec Burks,PHI,66,21,45,26.6,15.0,51.8,28.4,3.1,3.55,2.92,0.290,0.7,0.4,1.0,0.778,1.000,1.091
8,Alen Smailagic,GSW,14,1,13,9.9,4.2,13.8,8.6,0.5,2.27,1.02,0.306,0.4,1.3,1.4,0.400,0.611,0.947
9,Alex Caruso,LAL,64,48,16,18.4,5.5,31.2,13.5,1.8,3.45,2.85,0.175,0.4,0.0,0.8,0.769,0.000,0.510
10,Alex Len,SAC,54,18,36,17.7,7.8,31.2,17.0,0.8,1.52,0.52,0.251,2.3,0.8,5.4,0.536,0.585,0.955
11,Alfonzo McKinnie,CLE,40,11,29,14.8,4.6,17.2,9.3,0.5,1.77,0.91,0.265,0.3,0.1,1.5,0.900,0.000,0.897
12,Alize Johnson,IND,17,10,7,6.9,2.0,9.5,4.6,0.3,1.84,0.71,0.210,0.3,0.1,1.2,0.400,0.000,0.619
13,Allen Crabbe,MIN,37,5,32,17.6,4.6,19.1,13.5,0.5,1.43,0.57,0.244,0.2,0.0,0.4,0.875,0.000,0.846
14,Allonzo Trier,NYK,24,2,22,12.1,6.5,19.3,11.3,1.3,3.98,3.30,0.335,0.2,0.0,0.2,0.000,0.000,1.000
15,Amile Jefferson,ORL,18,5,13,4.1,0.8,6.2,2.7,0.2,1.89,0.62,0.134,0.2,0.2,0.8,0.750,0.000,0.214
16,Amir Coffey,LAC,18,11,7,8.8,3.2,11.1,6.4,0.7,3.60,2.88,0.290,0.1,0.0,0.3,2.000,0.000,0.400
17,Andre Drummond,CLE,56,21,35,32.9,17.6,63.9,36.5,2.5,2.33,1.32,0.276,5.5,4.7,11.7,0.484,0.690,0.919
18,Andre Iguodala,MIA,20,10,10,19.8,4.7,30.8,16.0,1.4,2.76,1.71,0.153,0.9,0.7,1.7,0.444,0.000,0.676
19,Andre Roberson,OKC,7,3,4,12.4,2.9,15.9,9.9,0.5,1.76,0.87,0.180,0.1,0.1,1.4,2.000,0.000,0.600
20,Andrew Wiggins,GSW,54,15,39,34.4,21.8,65.7,41.0,4.1,3.70,2.94,0.331,0.8,1.0,2.3,0.705,0.607,0.903
21,Anfernee Simons,POR,70,32,38,20.7,8.3,30.5,13.4,2.0,3.88,3.36,0.271,0.2,0.0,0.5,0.417,0.000,0.813
22,Ante Zizic,CLE,22,4,18,10.0,4.4,13.8,7.7,0.4,1.63,0.48,0.317,1.7,1.2,3.7,0.579,0.769,0.976
23,Anthony Davis,LAL,62,46,16,34.4,26.1,64.1,42.0,2.5,2.34,1.11,0.407,3.3,8.8,7.4,0.645,0.506,1.100
24,Anthony Tolliver,MEM,55,24,31,15.9,3.6,19.0,10.5,0.4,1.39,0.31,0.192,0.5,0.1,0.9,0.133,0.000,0.520
25,Antonius Cleveland,DAL,11,6,5,4.2,1.0,4.3,2.4,0.2,2.40,1.74,0.234,0.1,0.0,0.4,0.000,0.000,0.000
26,Anzejs Pasecniks,WAS,27,9,18,16.2,5.8,28.4,16.2,0.7,1.45,0.40,0.203,1.7,0.4,4.0,0.660,0.818,0.935
27,Aron Baynes,PHX,41,19,22,22.3,11.4,35.9,23.4,0.9,1.44,0.33,0.318,2.7,1.2,5.2,0.505,0.813,0.948
28,Austin Rivers,HOU,68,43,25,23.4,8.8,31.8,17.1,1.8,3.33,2.74,0.276,0.2,0.0,0.4,0.462,0.000,0.517
29,Avery Bradley,LAL,49,36,13,24.2,8.6,28.5,19.1,1.0,2.13,1.62,0.303,0.4,0.0,1.2,0.400,0.000,0.814
30,BJ Johnson,ORL,10,5,5,8.3,3.0,8.4,5.5,0.4,3.12,2.13,0.357,0.2,0.0,0.5,0.000,0.000,0.800
31,Bam Adebayo,MIA,71,44,27,33.5,16.0,65.6,39.7,3.0,2.73,1.46,0.243,7.8,3.2,7.9,0.485,0.330,0.839
32,Ben McLemore,HOU,71,44,27,22.8,10.1,26.3,15.8,0.6,1.37,0.55,0.384,0.5,0.0,0.7,0.939,0.000,1.080
